Iteracion,Temperatura,Calidad,Fase
1000,90.438210,14517.003906,0
2000,80.972809,15017.452148,0
3000,72.498062,15450.750977,0
4000,64.910294,14080.326172,0
5000,58.116673,13443.620117,0
6000,52.034088,14507.314453,0
7000,46.588112,15093.338867,0
8000,42.133457,15017.450195,0
9000,37.723701,14224.109375,0
10000,33.775478,14451.998047,0
11000,30.240482,14507.546875,0
12000,27.075464,14507.543945,0
13000,24.241701,14617.933594,0
14000,21.704525,14507.312500,0
15000,19.432894,14507.314453,0
16000,17.574762,14770.439453,0
17000,15.735356,14542.255859,0
18000,14.088469,14507.544922,0
19000,12.613948,13551.078125,0
20000,11.293752,14507.313477,0
21000,10.111730,14507.545898,0
22000,9.053419,15017.219727,0
23000,8.187751,14451.764648,0
24000,7.330808,14798.641602,0
25000,6.563553,14497.804688,0
26000,5.876601,15017.219727,0
27000,5.261546,14856.550781,0
28000,4.710864,14492.540039,0
29000,4.217817,15017.219727,0
30000,3.776373,14404.552734,0
30085,0.000000,14766.514648,1
31000,92.274467,14103.051758,0
32000,82.616882,14392.436523,0
33000,73.970062,14391.666992,0
34000,66.228241,14595.975586,0
35000,59.895634,14465.424805,0
36000,53.626858,14490.446289,0
37000,48.014179,14490.446289,0
38000,42.988937,14443.370117,0
39000,38.489643,14490.446289,0
40000,34.461258,14196.200195,0
41000,30.854486,14490.446289,0
42000,27.904245,14510.836914,0
43000,24.983744,14490.446289,0
44000,22.368904,14638.528320,0
45000,20.027737,14614.540039,0
46000,17.931601,14490.446289,0
47000,16.054848,13565.161133,0
48000,14.374521,14491.215820,0
49000,12.870062,14688.295898,0
50000,11.639455,14296.788086,0
51000,10.421251,13798.192383,0
52000,9.330545,14139.350586,0
53000,8.353995,14490.446289,0
54000,7.479653,15024.159180,0
55000,6.696820,14087.033203,0
56000,5.995920,14490.446289,0
57000,5.368377,14595.975586,0
58000,4.855064,14490.446289,0
59000,4.346925,14519.143555,0
60000,3.891968,14490.446289,0
60311,0.000000,14789.308594,1
61000,93.206535,14887.128906,0
62000,83.451393,15273.078125,0
63000,75.471947,14564.425781,0
64000,67.572937,14665.907227,0
65000,60.500641,14503.518555,0
66000,54.168541,14760.701172,0
67000,48.499172,15068.926758,0
68000,43.423168,14202.494141,0
69000,38.878426,14760.702148,0
70000,34.809353,14202.494141,0
71000,31.480957,14191.575195,0
72000,28.186106,14202.494141,0
73000,25.236105,14202.494141,0
74000,22.594852,14202.494141,0
75000,20.230038,15072.173828,0
76000,18.112728,13413.931641,0
77000,16.217018,14191.575195,0
78000,14.519718,14191.574219,0
79000,13.131375,14157.678711,0
