Iteracion,Temperatura,Calidad,Fase
1000,44.241924,5491.223633,0
2000,8.496181,5076.119141,0
3000,1.631599,5560.943359,0
4000,0.313331,5412.075195,0
5000,0.076167,5380.603516,0
6000,0.014627,5202.997070,0
7000,0.002809,5434.065430,0
8000,0.000539,5526.826660,0
9000,0.000131,5250.693359,0
10000,0.000025,4795.995117,0
11000,0.000005,5110.235352,0
12000,0.000001,4795.995117,0
13000,0.000000,5344.110352,0
14000,0.000000,4555.875977,0
15000,0.000000,5202.997070,0
16000,0.000000,5053.991211,0
17000,0.000000,5498.434082,0
18000,0.000000,5412.075195,0
19000,0.000000,5344.110352,0
20000,0.000000,5344.110352,0
21000,0.000000,4555.875977,0
22000,0.000000,5110.235352,0
23000,0.000000,5791.390625,0
24000,0.000000,4555.875977,0
25000,0.000000,4555.875977,0
26000,0.000000,5498.434082,0
27000,0.000000,5053.991699,0
28000,0.000000,5434.065430,0
29000,0.000000,4555.875977,0
30000,0.000000,5250.693359,0
30045,0.000000,5049.061035,1
31000,0.000000,5380.603516,1
32000,0.000000,6510.406250,1
33000,0.000000,5380.603516,1
34000,0.000000,6033.854492,1
35000,89.733101,6152.597168,0
36000,17.232267,5380.604004,0
37000,3.309269,6510.406250,0
38000,0.635509,5529.609375,0
39000,0.122043,6510.406250,0
40000,0.029667,5380.603516,0
41000,0.005697,5854.018555,0
42000,0.001094,6454.299316,0
43000,0.000210,6510.406250,0
44000,0.000051,5760.677734,0
45000,0.000010,5529.609375,0
46000,0.000002,6112.718262,0
47000,0.000000,6510.406738,0
48000,0.000000,6152.597168,0
49000,0.000000,5436.710938,0
50000,0.000000,6454.299805,0
51000,0.000000,6003.591797,0
52000,0.000000,5380.603516,0
53000,0.000000,6152.597168,0
54000,0.000000,5436.847656,0
55000,0.000000,6112.718262,0
56000,0.000000,5670.722656,0
57000,0.000000,5380.603516,0
58000,0.000000,6510.406250,0
59000,0.000000,5380.604004,0
60000,0.000000,6033.854492,0
61000,0.000000,5380.604004,0
62000,0.000000,5380.603516,0
63000,0.000000,6152.597656,0
64000,0.000000,6510.406250,0
64454,0.000000,5675.223145,1
65000,0.000000,6003.591797,1
66000,0.000000,6003.591797,1
67000,0.000000,6152.459961,1
68000,0.000000,6003.591797,1
69000,143.779999,5380.603516,0
70000,34.951122,6036.126953,0
71000,6.711983,5402.730469,0
72000,1.288963,6454.299805,0
73000,0.247531,6510.406250,0
74000,0.047536,6510.406250,0
75000,0.011555,6152.597168,0
76000,0.002219,6152.597168,0
77000,0.000426,7077.288086,0
78000,0.000082,5402.730469,0
79000,0.000020,5380.603516,0
80000,0.000004,6003.591797,0
81000,0.000001,5887.555176,0
82000,0.000000,5380.603516,0
83000,0.000000,5380.603516,0
84000,0.000000,5504.738770,0
85000,0.000000,5504.738770,0
86000,0.000000,5584.378906,0
87000,0.000000,6003.591797,0
88000,0.000000,5853.575684,0
89000,0.000000,6003.591797,0
90000,0.000000,5529.608887,0
91000,0.000000,5874.474609,0
92000,0.000000,6003.591797,0
93000,0.000000,5738.687012,0
94000,0.000000,6003.591797,0
95000,0.000000,6510.406250,0
96000,0.000000,5436.710449,0
97000,0.000000,5738.687012,0
98000,0.000000,5380.603516,0
98863,0.000000,5707.243164,1
99000,0.000000,5380.603516,1
100000,0.000000,5409.996094,1
