Iteracion,Temperatura,Calidad,Fase
1000,1.741434,3613.051025,0
2000,0.028882,3648.277344,0
3000,0.000479,3262.934570,0
4000,0.000008,3456.325195,0
5000,0.000000,3262.934570,0
6000,0.000000,3659.975586,0
7000,0.000000,3659.975586,0
8000,0.000000,3844.120605,0
9000,0.000000,3456.325195,0
10000,0.000000,3578.737793,0
11000,0.000000,3791.200439,0
12000,0.000000,3456.325195,0
13000,0.000000,3262.934570,0
14000,0.000000,3578.737793,0
15000,0.000000,3578.737793,0
16000,0.000000,3791.200439,0
17000,0.000000,3578.737793,0
18000,0.000000,3791.200439,0
19000,0.000000,4037.511230,0
20000,0.000000,3456.325195,0
21000,0.000000,3262.934570,0
22000,0.000000,3262.934570,0
23000,0.000000,3844.120605,0
24000,0.000000,4037.511230,0
25000,0.000000,3578.737793,0
26000,0.000000,3844.120605,0
27000,0.000000,3994.850830,0
28000,0.000000,4037.511230,0
29000,0.000000,3844.120605,0
30000,0.000000,3844.120605,0
30016,0.000000,3975.778809,1
30017,0.000000,4172.586914,1
30018,0.000000,3994.575195,1
30019,0.000000,3909.477539,1
30020,0.000000,4172.586914,1
30021,0.000000,4172.586426,1
30022,0.000000,4326.403809,1
30023,0.000000,4587.282227,1
30024,0.000000,4172.586914,1
30025,0.000000,4172.586426,1
30026,0.000000,4172.586914,1
30027,0.000000,4172.586426,1
30028,0.000000,4765.470703,1
30029,0.000000,4765.470703,1
30030,0.000000,4334.625000,1
30031,0.000000,4172.586914,1
30032,0.000000,4172.586426,1
30033,0.000000,4172.586426,1
30034,0.000000,4172.586426,1
30035,0.000000,4435.000977,1
30036,0.000000,4053.598145,1
30037,0.000000,4435.000977,1
30038,0.000000,4435.000977,1
30039,0.000000,4435.000977,1
30040,0.000000,4435.000977,1
30041,0.000000,4172.586914,1
30042,0.000000,4435.000977,1
30043,0.000000,4107.500000,1
30044,0.000000,4435.000977,1
30045,0.000000,4435.000977,1
30046,0.000000,4435.000977,1
30047,0.000000,4447.931152,1
30048,0.000000,4765.470703,1
30049,0.000000,4765.470703,1
30050,0.000000,4765.471191,1
30051,0.000000,4236.055176,1
30052,0.000000,4248.303711,1
